target_date,ewma_violation,gb_violation,historical_violation,actual_return,violation_method_count,exception_category,calendar_month,target_position,cluster_id
2025-09-16,False,False,False,0.0041614950002356,0,no_violation,2025-09,182,
2025-09-17,False,False,False,-0.0114586501620866,0,no_violation,2025-09,183,
2025-09-18,False,False,False,-0.0062703035056847,0,no_violation,2025-09,184,
2025-09-19,False,False,False,0.0015841796157067,0,no_violation,2025-09,185,
2025-09-22,True,True,True,-0.029291892123153,3,shared_all_3,2025-09,186,11
2025-09-23,False,False,False,0.0028716748912995,0,no_violation,2025-09,187,
2025-09-24,False,False,False,0.0157757000116179,0,no_violation,2025-09,188,
2025-09-25,False,False,False,-0.0086845670781618,0,no_violation,2025-09,189,
2025-09-26,False,False,False,-0.0093599306698715,0,no_violation,2025-09,190,
2025-09-29,False,False,False,-0.0099994821575748,0,no_violation,2025-09,191,
2025-09-30,False,False,False,-0.0109130578895698,0,no_violation,2025-09,192,
2025-10-01,False,False,False,0.0031562423841156,0,no_violation,2025-10,193,
2025-10-02,False,False,False,-0.0095885980333664,0,no_violation,2025-10,194,
2025-10-03,False,False,False,-0.0010469676482118,0,no_violation,2025-10,195,
2025-10-06,False,False,False,0.0287267699537723,0,no_violation,2025-10,196,
2025-10-07,False,False,False,-0.0006010311339953,0,no_violation,2025-10,197,
2025-10-08,False,False,False,0.0108294338232332,0,no_violation,2025-10,198,
2025-10-09,False,False,False,-0.0010070123258442,0,no_violation,2025-10,199,
2025-10-10,False,False,False,0.0162593082448358,0,no_violation,2025-10,200,
2025-10-13,False,False,False,-0.010009277557694,0,no_violation,2025-10,201,
2025-10-14,False,False,False,-0.0083241215426329,0,no_violation,2025-10,202,
2025-10-15,False,False,False,-0.0147567198434056,0,no_violation,2025-10,203,
2025-10-16,False,False,False,0.0055577443902203,0,no_violation,2025-10,204,
2025-10-17,False,False,False,-0.0093514625005136,0,no_violation,2025-10,205,
2025-10-20,True,True,True,-0.0415775358398033,3,shared_all_3,2025-10,206,12
2025-10-21,False,False,False,0.0412668802548782,0,no_violation,2025-10,207,
2025-10-22,False,False,False,0.0190966422778949,0,no_violation,2025-10,208,
2025-10-23,False,False,False,-0.0046491856897268,0,no_violation,2025-10,209,
2025-10-24,False,False,False,0.0082203947383419,0,no_violation,2025-10,210,
2025-10-27,False,False,False,-0.0191138925140303,0,no_violation,2025-10,211,
2025-10-28,False,False,False,0.0344208296705948,0,no_violation,2025-10,212,
2025-10-29,False,False,False,0.0035349949734003,0,no_violation,2025-10,213,
2025-10-30,False,False,False,-0.0017636020200965,0,no_violation,2025-10,214,
2025-10-31,False,False,False,-0.0037739032022918,0,no_violation,2025-10,215,
2025-11-03,False,False,False,-0.0109984669614301,0,no_violation,2025-11,216,
2025-11-04,False,False,False,0.0068941900380453,0,no_violation,2025-11,217,
2025-11-05,False,False,False,-0.0198485905813637,0,no_violation,2025-11,218,
2025-11-06,False,False,False,-0.0044344494824568,0,no_violation,2025-11,219,
2025-11-07,False,False,False,-0.0138239847156065,0,no_violation,2025-11,220,
2025-11-10,False,False,False,-0.0093769680702631,0,no_violation,2025-11,221,
2025-11-11,False,False,False,0.0066819143322842,0,no_violation,2025-11,222,
2025-11-12,False,False,False,0.0313290861797263,0,no_violation,2025-11,223,
2025-11-13,False,False,False,-0.0128068602942918,0,no_violation,2025-11,224,
2025-11-14,False,False,False,0.0134639158396721,0,no_violation,2025-11,225,
2025-11-17,False,False,False,0.0124615064506728,0,no_violation,2025-11,226,
2025-11-18,False,False,False,0.001572788403484,0,no_violation,2025-11,227,
2025-11-19,False,False,False,-0.0078427728552933,0,no_violation,2025-11,228,
2025-11-20,False,False,False,-0.0065837028600247,0,no_violation,2025-11,229,
2025-11-21,False,False,False,0.0038514594834593,0,no_violation,2025-11,230,
2025-11-24,False,False,False,-0.0085978119498254,0,no_violation,2025-11,231,
2025-11-25,False,False,False,-0.0074800153436354,0,no_violation,2025-11,232,
2025-11-26,False,False,False,0.007371491793994,0,no_violation,2025-11,233,
2025-11-27,False,False,False,-0.0016346196839264,0,no_violation,2025-11,234,
2025-11-28,False,False,False,-0.01274858064253,0,no_violation,2025-11,235,
2025-12-01,False,False,False,0.0014363290990341,0,no_violation,2025-12,236,
2025-12-02,False,False,False,0.0,0,no_violation,2025-12,237,
2025-12-03,False,False,False,0.0233984044500974,0,no_violation,2025-12,238,
2025-12-04,False,False,False,0.0137007530223521,0,no_violation,2025-12,239,
2025-12-05,False,False,False,-0.010846929999,0,no_violation,2025-12,240,
2025-12-08,False,False,False,-0.0062622810554833,0,no_violation,2025-12,241,
2025-12-09,False,False,False,-0.0031321954980223,0,no_violation,2025-12,242,
2025-12-10,False,False,False,-0.0051594139112005,0,no_violation,2025-12,243,
2025-12-11,False,False,False,-0.0026612509982904,0,no_violation,2025-12,244,
2025-12-12,True,True,True,-0.0302651959299064,3,shared_all_3,2025-12,245,13
2025-12-15,False,False,False,0.0001135501405075,0,no_violation,2025-12,246,
2025-12-16,False,False,False,0.028010303516165,0,no_violation,2025-12,247,
2025-12-17,False,False,False,-0.0006643354227479,0,no_violation,2025-12,248,
2025-12-18,False,False,False,-0.0064136834849044,0,no_violation,2025-12,249,
2025-12-19,False,False,False,0.0073403303253347,0,no_violation,2025-12,250,
2025-12-22,False,False,False,0.0102868117814571,0,no_violation,2025-12,251,
2025-12-23,False,False,False,0.009037926602661,0,no_violation,2025-12,252,
2025-12-24,False,False,False,-0.0020189356383787,0,no_violation,2025-12,253,
2025-12-25,False,False,False,-0.0135058896079072,0,no_violation,2025-12,254,
2025-12-26,False,False,False,0.0103318250335508,0,no_violation,2025-12,255,
2025-12-29,False,False,False,0.0043542179217244,0,no_violation,2025-12,256,
2025-12-30,False,False,False,0.0106220768049844,0,no_violation,2025-12,257,
2025-12-31,False,False,False,-0.0040672453371589,0,no_violation,2025-12,258,
2026-01-05,False,False,False,-0.0121989694096528,0,no_violation,2026-01,259,
2026-01-06,False,False,False,0.0018236055564046,0,no_violation,2026-01,260,
2026-01-07,False,False,False,0.0245225051497573,0,no_violation,2026-01,261,
2026-01-08,False,False,False,-0.0144783893970269,0,no_violation,2026-01,262,
2026-01-09,False,False,False,-0.005014414186793,0,no_violation,2026-01,263,
